"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2858","CP-F20 - Buscar un término muestra resultados relacionados","chromium","2026-06-09","passed","2026-06-09","Buscador — Club MOVIDO$","promociones.spec.js","",""
"","9337","CP-F13 - Filtro Todas las entradas restaura la vista completa","chromium","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
"","3439","CP-F22 - Apertura del detalle desde una tarjeta de promoción","chromium","2026-06-09","passed","2026-06-09","Detalle de promoción — Club MOVIDO$","promociones.spec.js","",""
"","5731","CP-F20 - Buscar un término muestra resultados relacionados","firefox","2026-06-09","passed","2026-06-09","Buscador — Club MOVIDO$","promociones.spec.js","",""
"","4256","CP-F08 - Enlace Centro de ayuda apunta a freshdesk","firefox","2026-06-09","passed","2026-06-09","Header y enlaces — Club MOVIDO$","promociones.spec.js","",""
"","10889","CP-F06 - Carrusel retrocede con la flecha anterior","chromium","2026-06-09","passed","2026-06-09","Carrusel — Club MOVIDO$","promociones.spec.js","",""
"","4158","CP-F23 - Suscripción con email válido muestra confirmación","firefox","2026-06-09","skipped","2026-06-09","Formulario de suscripción — Club MOVIDO$","promociones.spec.js","",""
"","1554","CP-F10 - La página se adapta a viewport móvil sin solapamientos ni desbordes","chromium","2026-06-09","passed","2026-06-09","Responsividad móvil — Club MOVIDO$","promociones.spec.js","",""
"","8205","CP-F17 - Filtro por categoría Droguerías","chromium","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
"","9444","CP-F18 - Desplegable Más muestra categorías adicionales y filtra al seleccionar","firefox","2026-06-09","passed","2026-06-09","Desplegable Más — Club MOVIDO$","promociones.spec.js","",""
"","1689","CP-F11 - Imágenes y banners de promociones cargan sin errores","chromium","2026-06-09","passed","2026-06-09","Tarjetas de promociones — Club MOVIDO$","promociones.spec.js","",""
"","4324","CP-F24 - Validación de email inválido o campo vacío en suscripción","firefox","2026-06-09","passed","2026-06-09","Formulario de suscripción — Club MOVIDO$","promociones.spec.js","",""
"","11807","CP-F01 - La pantalla inicial muestra los botones Persona y Empresa","firefox","2026-06-09","passed","2026-06-09","Flujo principal — Persona → Promociones","promociones.spec.js","",""
"","21257","CP-F13 - Filtro Todas las entradas restaura la vista completa","firefox","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
"","6110","CP-F22 - Apertura del detalle desde una tarjeta de promoción","firefox","2026-06-09","passed","2026-06-09","Detalle de promoción — Club MOVIDO$","promociones.spec.js","",""
"","2728","CP-F11 - Imágenes y banners de promociones cargan sin errores","firefox","2026-06-09","passed","2026-06-09","Tarjetas de promociones — Club MOVIDO$","promociones.spec.js","",""
"","5547","CP-F01 - La pantalla inicial muestra los botones Persona y Empresa","chromium","2026-06-09","passed","2026-06-09","Flujo principal — Persona → Promociones","promociones.spec.js","",""
"","4015","CP-F09 - Enlace #SomosMOVii apunta a somos-movii","firefox","2026-06-09","passed","2026-06-09","Header y enlaces — Club MOVIDO$","promociones.spec.js","",""
"","2217","CP-F23 - Suscripción con email válido muestra confirmación","chromium","2026-06-09","skipped","2026-06-09","Formulario de suscripción — Club MOVIDO$","promociones.spec.js","",""
"","14314","CP-F04 - Visualización de la página MOVIDO$","firefox","2026-06-09","passed","2026-06-09","Flujo principal — Persona → Promociones","promociones.spec.js","",""
"","15880","CP-F16 - Filtro por categoría Supermercados","firefox","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
"","11806","CP-F05 - Carrusel avanza con la flecha siguiente","firefox","2026-06-09","passed","2026-06-09","Carrusel — Club MOVIDO$","promociones.spec.js","",""
"","4136","CP-F07 - Botón DESCARGA MOVii tiene un enlace válido","firefox","2026-06-09","passed","2026-06-09","Header y enlaces — Club MOVIDO$","promociones.spec.js","",""
"","5980","CP-F02 - Al hacer clic en Persona carga el home con el menú","chromium","2026-06-09","passed","2026-06-09","Flujo principal — Persona → Promociones","promociones.spec.js","",""
"","16996","CP-F14 - Filtro por categoría Restaurantes","firefox","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
"","14489","CP-F16 - Filtro por categoría Supermercados","chromium","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
"","2670","CP-F24 - Validación de email inválido o campo vacío en suscripción","chromium","2026-06-09","passed","2026-06-09","Formulario de suscripción — Club MOVIDO$","promociones.spec.js","",""
"","5487","CP-F10 - La página se adapta a viewport móvil sin solapamientos ni desbordes","firefox","2026-06-09","passed","2026-06-09","Responsividad móvil — Club MOVIDO$","promociones.spec.js","",""
"","2330","CP-F07 - Botón DESCARGA MOVii tiene un enlace válido","chromium","2026-06-09","passed","2026-06-09","Header y enlaces — Club MOVIDO$","promociones.spec.js","",""
"","1490","CP-F08 - Enlace Centro de ayuda apunta a freshdesk","chromium","2026-06-09","passed","2026-06-09","Header y enlaces — Club MOVIDO$","promociones.spec.js","",""
"","8367","CP-F15 - Filtro por categoría Entretenimiento","chromium","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
"","11848","CP-F06 - Carrusel retrocede con la flecha anterior","firefox","2026-06-09","passed","2026-06-09","Carrusel — Club MOVIDO$","promociones.spec.js","",""
"","8985","CP-F04 - Visualización de la página MOVIDO$","chromium","2026-06-09","passed","2026-06-09","Flujo principal — Persona → Promociones","promociones.spec.js","",""
"","3909","CP-F12 - Listado de promociones se muestra con títulos e imágenes visibles","firefox","2026-06-09","passed","2026-06-09","Tarjetas de promociones — Club MOVIDO$","promociones.spec.js","",""
"","11325","CP-F05 - Carrusel avanza con la flecha siguiente","chromium","2026-06-09","passed","2026-06-09","Carrusel — Club MOVIDO$","promociones.spec.js","",""
"","2204","CP-F12 - Listado de promociones se muestra con títulos e imágenes visibles","chromium","2026-06-09","passed","2026-06-09","Tarjetas de promociones — Club MOVIDO$","promociones.spec.js","",""
"","15467","CP-F17 - Filtro por categoría Droguerías","firefox","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
"","7429","CP-F03 - Al hacer clic en PROMOCIONES redirige a beneficios.movii.com.co","chromium","2026-06-09","passed","2026-06-09","Flujo principal — Persona → Promociones","promociones.spec.js","",""
"","16562","CP-F03 - Al hacer clic en PROMOCIONES redirige a beneficios.movii.com.co","firefox","2026-06-09","passed","2026-06-09","Flujo principal — Persona → Promociones","promociones.spec.js","",""
"","5493","CP-F18 - Desplegable Más muestra categorías adicionales y filtra al seleccionar","chromium","2026-06-09","passed","2026-06-09","Desplegable Más — Club MOVIDO$","promociones.spec.js","",""
"","12522","CP-F02 - Al hacer clic en Persona carga el home con el menú","firefox","2026-06-09","passed","2026-06-09","Flujo principal — Persona → Promociones","promociones.spec.js","",""
"","7920","CP-F14 - Filtro por categoría Restaurantes","chromium","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
"","1499","CP-F09 - Enlace #SomosMOVii apunta a somos-movii","chromium","2026-06-09","passed","2026-06-09","Header y enlaces — Club MOVIDO$","promociones.spec.js","",""
"","17061","CP-F15 - Filtro por categoría Entretenimiento","firefox","2026-06-09","passed","2026-06-09","Filtros por categoría — Club MOVIDO$","promociones.spec.js","",""
